Site,ENSO_Phase,Avg_Seasonal_New_SWE,Neutral_SWE,Pct_Diff_From_Neutral
Paradise,Strong La Niña,99.89999999999999,88.175,13.297419903600789
Paradise,Moderate La Niña,99.05,88.175,12.333427842358946
Paradise,Weak La Niña,83.03,88.175,-5.834987241281539
Paradise,Weak El Niño,72.14999999999999,88.175,-18.17408562517721
Paradise,Moderate El Niño,68.7,88.175,-22.08675928551176
Paradise,Strong El Niño,74.875,88.175,-15.08364048766657
Stampede Pass,Strong La Niña,62.33333333333333,53.70909090909091,16.057323403294955
Stampede Pass,Moderate La Niña,59.55000000000001,53.70909090909091,10.87508463100882
Stampede Pass,Weak La Niña,47.349999999999994,53.70909090909091,-11.839878131347339
Stampede Pass,Weak El Niño,40.4,53.70909090909091,-24.77995937711578
Stampede Pass,Moderate El Niño,40.35,53.70909090909091,-24.873053486797563
Stampede Pass,Strong El Niño,43.059999999999995,53.70909090909091,-19.827352742044695
Stevens Pass,Strong La Niña,53.800000000000004,47.638461538461534,12.933957694170855
Stevens Pass,Moderate La Niña,59.24999999999999,47.638461538461534,24.374293557242044
Stevens Pass,Weak La Niña,48.94,47.638461538461534,2.7321169061844057
Stevens Pass,Weak El Niño,42.125,47.638461538461534,-11.57355078314225
Stevens Pass,Moderate El Niño,41.050000000000004,47.638461538461534,-13.8301307928306
Stevens Pass,Strong El Niño,38.279999999999994,47.638461538461534,-19.64476021314388
Wells Creek,Strong La Niña,48.500000000000014,47.050000000000004,3.0818278427205312
Wells Creek,Moderate La Niña,55.76666666666666,47.050000000000004,18.526390364860053
Wells Creek,Weak La Niña,41.62222222222223,47.050000000000004,-11.536190813555317
Wells Creek,Weak El Niño,33.16666666666667,47.050000000000004,-29.507616011335454
Wells Creek,Moderate El Niño,46.5,47.050000000000004,-1.1689691817215817
Wells Creek,Strong El Niño,36.23333333333335,47.050000000000004,-22.989727240524243
