Date,SWE_inches,Site,New_SWE,Year,Month,Day,Season_Year,Month_Name,ONI_DJF,ENSO_Phase
1980-11-01,0.3,Paradise,0,1980,11,1,1981,Nov,-0.25666666666666665,Neutral
1980-11-02,0.4,Paradise,0.10000000000000003,1980,11,2,1981,Nov,-0.25666666666666665,Neutral
1980-11-03,0.5,Paradise,0.09999999999999998,1980,11,3,1981,Nov,-0.25666666666666665,Neutral
1980-11-04,0.5,Paradise,0,1980,11,4,1981,Nov,-0.25666666666666665,Neutral
1980-11-05,0.4,Paradise,0,1980,11,5,1981,Nov,-0.25666666666666665,Neutral
1980-11-06,1,Paradise,0.6,1980,11,6,1981,Nov,-0.25666666666666665,Neutral
1980-11-07,2,Paradise,1,1980,11,7,1981,Nov,-0.25666666666666665,Neutral
1980-11-08,2.7,Paradise,0.7000000000000002,1980,11,8,1981,Nov,-0.25666666666666665,Neutral
1980-11-09,3,Paradise,0.2999999999999998,1980,11,9,1981,Nov,-0.25666666666666665,Neutral
1980-11-10,3.7,Paradise,0.7000000000000002,1980,11,10,1981,Nov,-0.25666666666666665,Neutral
1980-11-11,3.8,Paradise,0.09999999999999964,1980,11,11,1981,Nov,-0.25666666666666665,Neutral
1980-11-12,3.9,Paradise,0.10000000000000009,1980,11,12,1981,Nov,-0.25666666666666665,Neutral
1980-11-13,3.9,Paradise,0,1980,11,13,1981,Nov,-0.25666666666666665,Neutral
1980-11-14,3.9,Paradise,0,1980,11,14,1981,Nov,-0.25666666666666665,Neutral
1980-11-15,4.3,Paradise,0.3999999999999999,1980,11,15,1981,Nov,-0.25666666666666665,Neutral
1980-11-16,4.4,Paradise,0.10000000000000053,1980,11,16,1981,Nov,-0.25666666666666665,Neutral
1980-11-17,4.7,Paradise,0.2999999999999998,1980,11,17,1981,Nov,-0.25666666666666665,Neutral
1980-11-18,5.4,Paradise,0.7000000000000002,1980,11,18,1981,Nov,-0.25666666666666665,Neutral
1980-11-19,5.5,Paradise,0.09999999999999964,1980,11,19,1981,Nov,-0.25666666666666665,Neutral
1980-11-20,5.6,Paradise,0.09999999999999964,1980,11,20,1981,Nov,-0.25666666666666665,Neutral
1980-11-21,5.9,Paradise,0.3000000000000007,1980,11,21,1981,Nov,-0.25666666666666665,Neutral
1980-11-22,6.1,Paradise,0.1999999999999993,1980,11,22,1981,Nov,-0.25666666666666665,Neutral
1980-11-23,5.9,Paradise,0,1980,11,23,1981,Nov,-0.25666666666666665,Neutral
1980-11-24,5.9,Paradise,0,1980,11,24,1981,Nov,-0.25666666666666665,Neutral
1980-11-25,6.1,Paradise,0.1999999999999993,1980,11,25,1981,Nov,-0.25666666666666665,Neutral
1980-11-26,6.5,Paradise,0.40000000000000036,1980,11,26,1981,Nov,-0.25666666666666665,Neutral
1980-11-27,6.6,Paradise,0.09999999999999964,1980,11,27,1981,Nov,-0.25666666666666665,Neutral
1980-11-28,6.7,Paradise,0.10000000000000053,1980,11,28,1981,Nov,-0.25666666666666665,Neutral
1980-11-29,7.2,Paradise,0.5,1980,11,29,1981,Nov,-0.25666666666666665,Neutral
1980-11-30,7.6,Paradise,0.39999999999999947,1980,11,30,1981,Nov,-0.25666666666666665,Neutral
1980-12-01,8.7,Paradise,1.0999999999999996,1980,12,1,1981,Dec,-0.25666666666666665,Neutral
1980-12-02,9,Paradise,0.3000000000000007,1980,12,2,1981,Dec,-0.25666666666666665,Neutral
1980-12-03,10.3,Paradise,1.3000000000000007,1980,12,3,1981,Dec,-0.25666666666666665,Neutral
1980-12-04,10.7,Paradise,0.3999999999999986,1980,12,4,1981,Dec,-0.25666666666666665,Neutral
1980-12-05,12.7,Paradise,2,1980,12,5,1981,Dec,-0.25666666666666665,Neutral
1980-12-06,13.1,Paradise,0.40000000000000036,1980,12,6,1981,Dec,-0.25666666666666665,Neutral
1980-12-07,13.1,Paradise,0,1980,12,7,1981,Dec,-0.25666666666666665,Neutral
1980-12-08,13.2,Paradise,0.09999999999999964,1980,12,8,1981,Dec,-0.25666666666666665,Neutral
1980-12-09,13.2,Paradise,0,1980,12,9,1981,Dec,-0.25666666666666665,Neutral
1980-12-10,13.3,Paradise,0.10000000000000142,1980,12,10,1981,Dec,-0.25666666666666665,Neutral
1980-12-11,13.4,Paradise,0.09999999999999964,1980,12,11,1981,Dec,-0.25666666666666665,Neutral
1980-12-12,13.7,Paradise,0.29999999999999893,1980,12,12,1981,Dec,-0.25666666666666665,Neutral
1980-12-13,13.7,Paradise,0,1980,12,13,1981,Dec,-0.25666666666666665,Neutral
1980-12-14,13.7,Paradise,0,1980,12,14,1981,Dec,-0.25666666666666665,Neutral
1980-12-15,14.4,Paradise,0.7000000000000011,1980,12,15,1981,Dec,-0.25666666666666665,Neutral
1980-12-16,14.2,Paradise,0,1980,12,16,1981,Dec,-0.25666666666666665,Neutral
1980-12-17,14.1,Paradise,0,1980,12,17,1981,Dec,-0.25666666666666665,Neutral
1980-12-18,14,Paradise,0,1980,12,18,1981,Dec,-0.25666666666666665,Neutral
1980-12-19,14,Paradise,0,1980,12,19,1981,Dec,-0.25666666666666665,Neutral
